Number,P1.1,P1.2,P1.3,P2.1,P2.2.1,P2.2.2,P2.2.3,P2.2.4,P1 - Total,P2 - Total,Overall,Proj. Overall,P1.1. - Comments,P1.2. - Comments,P1.3. - Comments,P2.1. - Comments,P2.2.1. - Comments,P2.2.2. - Comments,P2.2.3. - Comments,P2.2.4. - Comments
c21071706,7.28,8.10,6.52,9.08,7.72,2.80,5.00,0.50,21.90,25.10,47.00,67.14,1.1.3. uses wrong logic.,1.2.4. uses wrong logic.,Well Done. A copule of more peer-reviewed references would make it perfect.,2.1.3  and 2.1.4. non-ideal coding. 2.1.3 does not return anything,2.2.1.2. poly regression return does not have sm.OLS model but formula only.,2.2.2. prediction calculations are wrong. ,"2.2.3. Functions are ok, but there is random selection of training and test data. There are various other minor errors as well.",2.2.4. Test code returns error. The code should have its own test.
c21108612,6.72,6.00,6.08,3.48,2.44,0.25,8.40,3.60,18.80,18.17,36.97,52.81,1.1.3. uses wrong logic.,"1.2.1., 1.2.3. and 1.2.4. use wrong logic",Well Done. A copule of more peer-reviewed references would make it perfect.,2.1.3. and 2.1.4. are incorrect ,2.2.1.1. fully wrong logic. 2.2.1.2. it somehow does the job but with various errors.,2.2.2. no code provided,good effort with no documentation,2.2.4. There are various minor errors in the code but good try.
c21083689,5.40,6.60,6.00,8.62,4.12,2.20,6.80,3.60,18.00,25.34,43.34,61.91,1.1.2. wrong logic 1.1.3. non-ideal coding,1.2.1. and 1.2.4. use wrong logic. ,Good try but should have been supported with various references.,2.1.4. non-ideal coding and no axis labels.,2.2.1.1. function works but with a complicated way. 2.2.1.2. poly regression returns wrong models. ,2.2.2. this function itself does the job with various minor problems.,2.2.3. Generally good try but various problems.,2.2.4. There are various minor errors in the code but good try.
c21094029,5.56,7.95,8.00,0.55,0.45,0.25,0.50,0.25,21.51,2.00,23.51,33.59,1.1.2. has some nan returns.,"1.2.3. has some different outputs but a good try overall. It could have been perfect if you try to use pandas solely, instead of lots of usages of loops, etc.",Well done.,2.1. no code submitted,2.2.1. no code provided or incomplete set of codes.,2.2.2. no code submitted,2.2.3. no code provided or violated usage of not allowed functions.,2.2.4. no code provided or violated usage of not allowed functions.
c21122041,5.20,8.85,4.00,3.16,1.80,3.00,5.00,3.44,18.05,16.40,34.45,49.21,1.1.2 and 1.1.3. use wrong logic.,1.2.4. uses wrong logic.,Minimum number of words not reached! and lack of reference usage.,2.1.1. no dropping of columns. 2.1.3. and 2.1.4.  wrong calculation of values.,"2.2.1. unfortunately, the general logic is incorrect. PolynomialFeatures cannot be used.",2.2.2. this function itself does the job.,"2.2.3. Functions are ok, but there is random selection of training and test data. There are various other minor errors as well.",2.2.4. mean_squared_error() function cannot be used.
c21117546,3.84,0.90,4.00,8.28,3.24,3.00,5.00,3.50,8.74,23.02,31.76,45.37,"1.1.1. returned object type problem. 1.1.2. wrong logic, 1.1.3. no code.",1.2. incomplete and wrong implementation,Minimum number of words not reached! and lack of reference usage.,2.1.4. non-ideal coding. General: no documentation.,"2.2.1. unfortunately, the general logic is incorrect. PolynomialFeatures cannot be used.",2.2.2. this function itself does the job.,"2.2.3. Functions are ok, but there is random selection of training and test data. There are various other minor errors as well.",2.2.4. There are various minor errors in the code but good try.
c21055767,7.44,9.00,4.00,5.64,1.80,3.00,8.40,2.20,20.44,21.04,41.48,59.26,1.1.1. has returned object type problem,"all returns are somehow correct but unfortunately created with various loops, etc. Please refer to the title: pandas should be used solely.",Minimum number of words not reached! and lack of reference usage.,"2.1. All the functions uses various unneccessary for loops and if statements. Also, 2.1.4. even though the returned plots are correct, there are lots of missing parts. No random team selection/ No line markers. No titles and no axis labels.","2.2.1. unfortunately, the general logic is incorrect. PolynomialFeatures cannot be used.",2.2.2. this function itself does the job.,good effort with no documentation,2.2.4. returns error.
c2102997,9.00,7.80,5.00,2.60,1.80,2.00,2.50,2.50,21.80,11.40,33.20,47.43,Well done.,1.2.3. and 1.2.4. use wrong logic.,Good try but should have been supported with various references.,"2.1.1. and 2.1.3 uses wrong logic. 2.1.2. no time conversion. 2.1.4. xG calucations are wrong, and various plotting and function errors.","2.2.1. unfortunately, the general logic is incorrect. PolynomialFeatures cannot be used.",2.2.2. result returns are in floating numbers. Also various other minor problems,2.2.3. fully wrong implementation.,2.2.4. There are various minor errors in the code but good try.
c21026953,7.68,6.00,1.60,2.76,0.45,0.25,0.50,0.25,15.28,4.21,19.49,27.84,1.1.1. has returned object type problem,"1.2.1., 1.2.3. and 1.2.4. use wrong logic",Very shallow discussion and lack of peer reviewed reference usage.,2.1. All the functions uses various unneccessary for loops and if statements. 2.1.3. and 2.1.4. are incorrect ,2.2.1. no code provided or incomplete set of codes.,2.2.2. no code submitted,2.2.3. no code provided or violated usage of not allowed functions.,2.2.4. no code provided or violated usage of not allowed functions.
c21111600,9.68,8.70,0.00,9.56,6.96,3.80,5.00,5.00,18.38,30.32,48.70,69.57,Well done.,1.2.3. uses wrong logic.,No answer provided,2.1.2. and 2.1.4 non-ideal coding. ,2.2.1.1. function works but with a highly complicated way. 2.2.1.2. poly regression returns wrong models. ,2.2.2. this function itself does the job.,"2.2.3. Functions are ok, but there is random selection of training and test data. There are various other minor errors as well.",2.2.4. Well done.
c21126754,6.60,9.90,4.20,9.56,6.76,3.00,10.00,4.40,20.70,33.72,54.42,77.74,1.1. Generally a good try but some solutions includes for loops. These functions could have been written easliy. ,Well done.,700+ words. A shorter version and a copule of peer-reviewed references would make it better.,2.1.2. and 2.1.4 non-ideal coding. ,2.2.1.2. poly models are incorrect.,2.2.2. this function itself does the job with various minor problems.,Well done.,2.2.4. There are various minor errors in the code but good try.
c21014978,7.44,11.40,5.00,4.92,4.12,2.00,8.40,3.50,23.84,22.94,46.78,66.83,1.1.3. returned result has some problems.,Well done.,Good try but should have been supported with various references.,"2.1.2. non0ideal coding 2.1.3. incorrect values calculated in tables, hence a wrong figure. 2.1.4. no line markers.",2.2.1.1. function works but with a complicated way. 2.2.1.2. poly regression returns wrong models. ,2.2.2. result returns are in floating numbers. Also various other minor problems,good effort with no documentation,2.2.4. There are various minor errors in the code but good try.
c1840386,8.72,8.85,8.00,8.36,1.80,0.25,6.12,0.25,25.57,16.78,42.35,60.50,1.1. Generally a good try but some solutions includes for loops. These functions could have been written easliy. ,1.2. Generally a good try but some solutions includes for loops. These functions could have been written easliy. ,Well done.,2.1. All the functions uses various unneccessary for loops and if statements.,"2.2.1. unfortunately, the general logic is incorrect. PolynomialFeatures cannot be used.",2.2.2. no code submitted,2.2.3.2. predict function does not work and returns error,2.2.4. no code provided or violated usage of not allowed functions.
c21120715,6.92,5.25,4.00,4.60,1.80,2.00,0.50,0.25,16.17,9.15,25.32,36.17,1.1. Generally a good try but some solutions includes for loops. These functions could have been written easliy. ,1.2.3. and 1.2.4. no answer provided.,Minimum number of words not reached! and lack of reference usage.,2.1.2. non-ideal coding 2.1.3 wrong implementation 2.1.4. no code submitted.,"2.2.1. unfortunately, the general logic is incorrect. PolynomialFeatures cannot be used.",2.2.2. result returns are in floating numbers. Also various other minor problems,2.2.3. no code provided or violated usage of not allowed functions.,2.2.4. no code provided or violated usage of not allowed functions.
c21113561,6.60,1.80,6.00,4.76,1.14,2.10,6.80,3.00,14.40,17.80,32.20,46.00,1.1.1. non-ideal coding 1.1.3. wrong logic,1.2. wrong logic for the whole question,Good try but should have been supported with various references.,2.1.3. and 2.1.4 wrong calculations.,"2.2.1. unfortunately, the general logic is incorrect. PolynomialFeatures cannot be used.",2.2.2. this function itself does the job with various minor problems.,2.2.3. Generally good try but various problems.,2.2.4. There are various minor errors in the code but good try.
c21131168,6.48,8.70,6.76,3.08,1.80,1.00,5.20,2.20,21.94,13.28,35.22,50.31,1.1.2 and 1.1.3. results have some problems.,1.2.4. uses wrong logic.,Well Done. A copule of more peer-reviewed references would make it perfect.,2.1.2. non-ideal coding 2.1.3 wrong implementation 2.1.4. no code submitted.,"2.2.1. unfortunately, the general logic is incorrect. PolynomialFeatures cannot be used.","2.2.2. unfortunately, the general logic is incorrect.","2.2.3. Functions are ok, but there is random selection of training and test data. There are various other minor errors as well.",2.2.4. mean_squared_error() function cannot be used. Accuracy in decimals. And various minor errors.
c21042131,6.96,10.05,6.08,8.04,4.68,3.80,10.00,4.40,23.09,30.92,54.01,77.16,1.1.3. uses wrong logic.,1.2. Generally a good try but some solutions includes for loops. These functions could have been written easliy. ,Well Done. A copule of more peer-reviewed references would make it perfect.,"2.1. All the functions uses various unneccessary for loops and if statements. 2.1.4. also return only final xGs, should be all arrays","2.2.1. unfortunately, the general logic is incorrect. Returned predictors and polynomial models are incorrect.",2.2.2. this function itself does the job.,Well done.,2.2.4. There are various minor errors in the code but good try.
c21041059,4.76,9.75,5.00,9.72,1.80,3.00,9.00,3.90,19.51,27.42,46.93,67.04,1.1.1. has returned object type problem. 1.1.2. and 1.1.3. use wrong logic.,1.2. Generally a good try but some solutions includes for loops. These functions could have been written easliy. ,Good try but should have been supported with various references.,"2.1.4. returns only final xGs, should be all arrays","2.2.1. unfortunately, the general logic is incorrect. PolynomialFeatures cannot be used.",2.2.2. this function itself does the job.,Well done.,2.2.4. There are various minor errors in the code but good try.
c21112568,4.12,8.85,5.00,7.26,1.80,0.25,8.40,3.00,17.97,20.71,38.68,55.26,1.1. all the results has some problems.,1.2. Generally a good try but some solutions includes for loops. These functions could have been written easliy. 1.2.4. uses wrong logic.,Good try but should have been supported with various references.,2.1. All the functions uses various unneccessary for loops and if statements.,"2.2.1. unfortunately, the general logic is incorrect. PolynomialFeatures cannot be used.",2.2.2. no code submitted,good effort with no documentation,2.2.4. There are various minor errors in the code. Wrong accuracy calculcations. Unneccessary ROC curves.
c1823122,5.68,10.20,5.00,5.16,1.32,0.25,6.00,3.50,20.88,16.23,37.11,53.01,1.1.1. and 1.1.3. use wrong logic.,1.2. Generally a good try but some solutions includes for loops. These functions could have been written easliy. 1.2.4. uses wrong logic.,Good try but should have been supported with various references.,2.1.2. FTR and HTR conversions not applied. 2.1.4. incomplete code or wrong implementation,"2.2.1. unfortunately, the general logic is incorrect. 2.2.1.2. code incomplete",2.2.2. no code submitted,2.2.3. Generally good try but various problems.,2.2.4. There are various minor errors in the code. 
c21121629,6.96,6.90,5.00,6.20,1.80,0.25,7.50,3.50,18.86,19.25,38.11,54.44,1.1.1. returned object type problem.,1.2.3. and 1.2.4. use wrong logic.,Good try but should have been supported with various references.,2.1. All the functions uses various unneccessary for loops and if statements. 2.1.1. no dropping column 2.1.4. no randim team selection,"2.2.1. unfortunately, the general logic is incorrect. PolynomialFeatures cannot be used.",2.2.2. wrong or incomplete code,2.2.3. Generally good try but various problems.,2.2.4. There are various minor errors in the code. 
c1833949,5.16,9.30,5.60,7.90,0.45,3.30,5.80,2.90,20.06,20.35,40.41,57.73,1.1.1. returned object type error. 1.1.2. returned object has nans. 1.1.3. lowercase problem.,1.2. non-ideal coding for the whole question,Good try but should have been supported with various references.,"2.1.1. non-ideal coding, 2.1.4. no line markers and no subplotting.",2.2.1. incomplete or wrong operation,2.2.2. this function itself does the job.,2.2.3. Generally good try but various problems.,2.2.4. There are various minor errors in the code. 
c21109494,5.16,3.60,6.40,4.12,1.80,0.25,0.50,0.25,15.16,6.92,22.08,31.54,1.1.1. returned object type error. 1.1.2. returned object has nans. 1.1.3. lowercase problem.,1.2. wrong logic for the whole question,Well done,2.1.3. and 2.1.4. wrong implementation.,"2.2.1. unfortunately, the general logic is incorrect. PolynomialFeatures cannot be used.",2.2.2. no code submitted,2.2.3. no code provided or violated usage of not allowed functions.,2.2.4. no code provided or violated usage of not allowed functions.
c21093270,6.36,9.30,4.20,5.58,1.80,2.00,5.80,2.50,19.86,17.68,37.54,53.63,1.1.1. non-ideal coding 1.1.3. wrong logic,1.2. non-ideal coding for the whole question,700+ words. A shorter version and a copule of peer-reviewed references would make it better.,2.1.2. and 2.1.4. non-ideal coding. 2.1.3. wrong implementation.,"2.2.1. unfortunately, the general logic is incorrect. PolynomialFeatures cannot be used.",2.2.2. result returns are in floating numbers. Also various other minor problems,2.2.3. Generally good try but various problems.,2.2.4. There are various  errors in the code. 
c21120536,5.08,1.80,0.40,0.55,1.14,0.25,0.50,0.25,7.28,2.69,9.97,14.24,1.1.2. and 1.1.3. do not return the expected outputs.,1.2. lots of problematic codes.,no code provided,2.1. various errors and incomplete codes.,"2.2.1. unfortunately, the general logic is incorrect. PolynomialFeatures cannot be used.",2.2.2. no code submitted,2.2.3. no code provided or violated usage of not allowed functions.,2.2.4. no code provided or violated usage of not allowed functions.
c21110669,8.04,2.55,5.60,3.90,1.14,0.25,5.20,0.25,16.19,10.74,26.93,38.47,1.1.3. non-ideal coding,1.2. lots of missing codes,Good try but should have been supported with various references.,2.1.1. returned values are in floating numbers. 2.1.2. non-ideal coding. 2.1.3. non ideal coding with no printing command in the function. 2.1.4. no code.,"2.2.1. unfortunately, the general logic is incorrect. PolynomialFeatures cannot be used.",2.2.2. no code submitted,2.2.3. Generally good try but various problems.,2.2.4. no code provided or violated usage of not allowed functions.
c21082461,7.20,7.80,5.00,5.96,1.80,1.00,3.60,1.80,20.00,14.16,34.16,48.80,1.1.1. returned object type problem. No documentation,1.2.3. and 1.2.4. use wrong logic.,Good try but should have been supported with various references.,2.1. non ideal coding for the whole subsections. 2.1.4. no randomly selection of teams.,"2.2.1. unfortunately, the general logic is incorrect. PolynomialFeatures cannot be used.",2.2.2. wrong logic. ,"2.2.3. Functions are ok, but there is random selection of training and test data. There are various other minor errors as well.",2.2.4. There are various  errors in the code. 
c21079499,9.52,10.20,8.00,8.28,7.40,5.00,8.40,3.90,27.72,32.98,60.70,86.71,Well done.,1.2. Generally a good try but some solutions includes for loops. These functions could have been written easliy. 1.2.4. uses wrong logic.,Well done.,2.1.2. and 2.1.3. non-ideal coding. 2.1.4. no line markers and wrong return., 2.2.1.2. poly regression returns wrong models.,Well done.,good effort with no documentation,2.2.4. There are various minor errors in the code but good try.
c2010984,5.88,9.30,6.00,3.80,1.80,3.00,0.50,0.25,21.18,9.35,30.53,43.61,1.1.3. uses wrong logic. Other non-ideal coding : usage of various loops etc.,1.2.4. takes ages to run. I canceled it after 10minutes. Please refer to title! This question is supposed to be solved via pandas only.,Minimum number of words not reached! and high number of references abut limitted peer-reviewed reference usage.,2.1.3. and 2.1.4. wrong implementation.,"2.2.1. unfortunately, the general logic is incorrect. PolynomialFeatures cannot be used.",2.2.2. this function itself does the job.,2.2.3. no code provided or violated usage of not allowed functions.,2.2.4. no code provided or violated usage of not allowed functions.
c1990606,4.48,7.80,1.20,2.52,0.90,0.25,5.20,0.25,13.48,9.12,22.60,32.29,1.1.2. and 1.1.3. do not return the expected outputs.,1.2.1. and 1.2.3. not returning expected outputs.,"Minimum number of words not satisfied, and no references",2.1.2. time conversion is incorrect. 2.1.3. incomplete code despite giving some results OUTSIDE of a function. 2.1.4. no code. ,2.2.1. missing or incomplete code.,2.2.2. no code submitted,2.2.3. Generally good try but various problems.,2.2.4. no code provided or violated usage of not allowed functions.
c1831193,5.96,9.15,5.00,5.88,1.80,0.25,0.50,0.25,20.11,8.68,28.79,41.13,1.1. the code requires beginner based corrections to run without errors. 1.1.3. return is not fully correct.,1.2. Generally a good try but some solutions includes for loops. These functions could have been written easliy. 1.2.4. uses wrong logic.,Good try but should have been supported with various references.,2.1.3. plotting outside of the function. It is clear that the function should plot the figure. 2.1.4. plotly.go cannot be used. ,"2.2.1. unfortunately, the general logic is incorrect. PolynomialFeatures cannot be used.",2.2.2. no code submitted,2.2.3. no code provided or violated usage of not allowed functions.,2.2.4. no code provided or violated usage of not allowed functions.
c2071395,7.68,6.30,5.00,5.88,4.68,3.00,5.00,0.25,18.98,18.81,37.79,53.99,1.1.3. returns not fully correct results.,"1.2.1., 1.2.3. and 1.2.4. use wrong logic",Good try but should have been supported with various references.,2.1.4. wrong figures created.,2.2.1.1. function arguments defined once again in the function. This is against the logic of function arguments. Also highly complicated code despite correct predictor returns. 2.2.1.2. uses multiplication instead of I() representation.,2.2.2. this function itself does the job.,"2.2.3. Functions are ok, but there is random selection of training and test data. There are various other minor errors as well.",2.2.4. returns error.
c2017767,7.32,8.25,7.20,7.96,3.00,3.00,8.40,4.20,22.77,26.56,49.33,70.47,1.1.3. use wrong logic,1.2.4. uses wrong logic.,Well Done. A copule of more peer-reviewed references would make it perfect.,2.1.4. no random team selection,"2.2.1. unfortunately, the general logic is incorrect. PolynomialFeatures cannot be used.",2.2.2. this function itself does the job.,good effort with no documentation,2.2.4. There are various minor errors in the code but good try.
c21115716,4.24,0.60,0.40,7.50,0.45,0.25,0.50,0.25,5.24,8.95,14.19,20.27,1.1.2. some returns does not have <title> tag. 1.1.3. no code.,1.2. no code,no code provided,2.1. triple quoted text should be after def keyword. And highly complicated coding.,2.2.1. no code provided or incomplete set of codes.,2.2.2. no code ,2.2.3. no code,2.2.4. no code
c21089808,9.04,10.80,8.00,11.00,4.92,3.00,6.00,5.00,27.84,29.92,57.76,82.51,1.1. Well done,1.2. Well done.,Well done,2.1. Well done.,"2.2.1. correct solution with non-ideal coding. Manipulates the function arguments inside the function, a clear violation of function definition rules. 2.2.1.2. returned poly degrees and models are not matching",2.2.2. again manual manipulation of function arguments. ,2.2.3. globally calling various variables into functions. These should have been obtained from the function arguments.,2.2.4. Well done.
c21084173,7.64,7.05,4.20,7.96,4.68,3.80,5.00,4.20,18.89,25.64,44.53,63.61,1.1.3. has lowercase problem.,1.2.3. uses wrong logic.,700+ words. A shorter version and a copule of peer-reviewed references would make it better.,"2.1.2 and 2.1.3 non-ideal coding. 2.1.4. no line markers, no axis labels","2.2.1. unfortunately, the general logic is incorrect. PolynomialFeatures cannot be used.",2.2.2. this function itself does the job.,"2.2.3. Functions are ok, but there is random selection of training and test data. There are various other minor errors as well.",2.2.4. There are various minor errors in the code but good try.
c21094220,5.08,8.40,5.00,5.64,3.24,1.80,8.40,4.20,18.48,23.28,41.76,59.66,1.1.1. returned object type problem. 1.1.3. 5+mins to run. It is not feasible for this question and did not run the function after 5 minutes.,1.2. Generally a good try but some solutions includes for loops. These functions could have been written easliy. 1.2.4. uses wrong logic.,Good try but should have been supported with various references.,2.1. All the functions uses various unneccessary for loops and if statements. 2.1.3. missing axis labels. 2.1.4. no line markers. No random team selection,"2.2.1. unfortunately, the general logic is incorrect. PolynomialFeatures cannot be used.",2.2.2. this function itself does the job with various wrong usages.,good effort with no documentation,2.2.4. There are various minor errors in the code but good try.
c21053774,5.40,9.30,0.00,4.76,1.80,0.25,4.40,4.20,14.70,15.41,30.11,43.01,1.1.1. uses json module - not allowed. 1.1.3. lowercasing problem.,1.2.4. uses wrong logic.,No answer provided,2.1.2. FTR and HTR are float but should be integers. 2.1.3. and 2.1.4 nonideal coding. 2.1.4. also wrong implementation,"2.2.1. unfortunately, the general logic is incorrect. PolynomialFeatures cannot be used.",2.2.2. wrong or incomplete code. PolynomialFeatures cannot be used.,"2.2.3. Functions are ok, but there is random selection of training and test data. There are various other minor errors as well.",2.2.4. There are various minor errors in the code but good try.
c21043704,9.00,8.10,5.00,5.80,5.96,3.00,8.40,4.20,22.10,27.36,49.46,70.66,1.1. Good effort without docstring definitions.,1.2. Generally a good try but some solutions includes for loops. These functions could have been written easliy. 1.2.4. uses wrong logic.,Good try but should have been supported with various references.,2.1. All the functions uses various unneccessary for loops and if statements.  2.1.4. no line markers.  missing axis labels. No random team selection, 2.2.1.2. poly regression returns wrong models.,2.2.2. this function itself does the job.,good effort with no documentation,2.2.4. There are various minor errors in the code but good try.
c21044848,9.00,8.40,5.00,6.60,5.96,3.00,8.40,4.20,22.40,28.16,50.56,72.23,1.1. Good effort without docstring definitions.,1.2.1. returns only 1 single entry. 1.2.3. uses wrong logic.,Good try but should have been supported with various references.,2.1. All the functions uses various unneccessary for loops and if statements., 2.2.1.2. poly regression returns wrong models.,2.2.2. this function itself does the job.,good effort with no documentation,2.2.4. There are various minor errors in the code but good try.
c21040520,7.92,5.25,8.00,7.96,1.80,3.00,6.40,3.44,21.17,22.60,43.77,62.53,1.1.1. returned object type problem,"1.2.1., 1.2.2. and 1.2.4. use wrong logic.",Well done,2.1.4. non-ideal coding with axis label problems,"2.2.1. unfortunately, the general logic is incorrect. PolynomialFeatures cannot be used.",2.2.2. this function itself does the job.,2.2.3. Generally good try but various problems.,"2.2.4. Accuracy is in decimals, e.g. 0.89 should be 89%"
c2090813,6.92,7.05,8.00,7.48,1.80,1.80,6.40,4.20,21.97,21.68,43.65,62.36,1.1. Generally a good try but some solutions includes for loops. These functions could have been written easliy. ,1.2.3. and 1.2.4. use wrong logic.,Well done,2.1.4. no line markers.  missing axis labels. No random team selection,"2.2.1. unfortunately, the general logic is incorrect. PolynomialFeatures cannot be used.",2.2.2. this function itself does the job with various wrong usages.,2.2.3. Generally good try but various problems.,2.2.4. There are various minor errors in the code but good try.
c21028589,7.32,9.30,7.20,4.76,1.80,2.00,8.40,4.20,23.82,21.16,44.98,64.26,1.1.3. use wrong logic,1.2.4. uses wrong logic.,Well Done. A copule of more peer-reviewed references would make it perfect.,2.1.3. wrong implementation 2.1.4. running mean is incorrect.,"2.2.1. unfortunately, the general logic is incorrect. PolynomialFeatures cannot be used.",2.2.2. result returns are in floating numbers. Also various other minor problems,good effort with no documentation,2.2.4. There are various minor errors in the code but good try.
c21052217,7.68,7.65,5.00,5.48,5.96,1.80,8.40,4.20,20.33,25.84,46.17,65.96,1.1.3. has lowercase problem.,1.2.1. returns only 1 single entry. 1.2.3. uses wrong logic.,Good try but should have been supported with various references.,2.1. All the functions uses various unneccessary for loops and if statements. 2.1.3. missing axis labels. 2.1.4. no axis labels. No random team selection, 2.2.1.2. poly regression returns wrong models.,2.2.2. this function itself does the job with various wrong usages.,good effort with no documentation,2.2.4. There are various minor errors in the code but good try.
c1987582,5.72,8.55,6.08,6.68,4.68,3.00,8.40,4.20,20.35,26.96,47.31,67.59,1.1.1. results have some problems. 1.1.3. uses wrong logic.,1.2.4. uses wrong logic.,Well Done. A copule of more peer-reviewed references would make it perfect.,2.1.3. and 2.1.4 non-ideal coding. 2.1.4. no axis labels. No random team selection,2.2.1.1. function arguments not used in the function. This is against the logic of function arguments. Also highly complicated code despite correct predictor returns. 2.2.1.2. returns wrong poly regression models.,2.2.2. this function itself does the job.,good effort with no documentation,2.2.4. There are various minor errors in the code but good try.
c2106528,6.00,7.50,6.08,7.72,4.68,3.00,8.40,4.20,19.58,28.00,47.58,67.97,1.1.1. returned object type problem. 1.1.3. uses wrong logic.,1.2.1. returns wrong fav numbers. 1.2.3. uses wrong logic.,Well Done. A copule of more peer-reviewed references would make it perfect.,"2.1.1. and 2.1.4. non-ideal coding. Also, 2.1.4. does not randomly select teams.",2.2.1.1. function arguments not used in the function. This is against the logic of function arguments. Also highly complicated code despite correct predictor returns. 2.2.1.2. returns wrong poly regression models.,2.2.2. this function itself does the job.,good effort with no documentation,2.2.4. There are various minor errors in the code but good try.
c1998784,7.68,7.50,8.00,7.00,1.05,0.25,0.50,1.00,23.18,9.80,32.98,47.11,1.1.1. has lowercase problem.,1.2.3. and 1.2.4. use wrong logic.,Well done.,2.1.3.no axis labels and 2.1.4 no axis labels and line markers.,"2.2.1.1. unfortunately, the general logic is incorrect. 2.2.1.2. no code provided",2.2.2. no code submitted,2.2.3. no code provided or violated usage of not allowed functions.,2.2.4. a code submitted but no estimate and predict functions exist. So  not suitable to test.
c2095731,6.24,7.50,0.40,7.34,0.90,0.25,2.46,0.25,14.14,11.20,25.34,36.20,"1.1.1. returned object type problem, 1.1.3. has lowercase problem.",1.2.1. and 1.2.4 wron logic used.,no code provided,"2.1.4. no randim selection of teams, and also the function does not let me manually set Chelsea.",2.2.1. returns errors. ,2.2.2. no code submitted,2.2.3. missing or incomplete implementation,2.2.4. no code.
c2014697,4.92,7.05,5.00,5.56,1.80,3.00,8.40,2.40,16.97,21.16,38.13,54.47,1.1.2. some returns do not have values (empty text). 1.1.3. uses wrong logic. ,1.2.3. and 1.2.4. use wrong logic.,Good try but should have been supported with various references.,"2.1.1. no dropping columns. 2.1.3. no axis labels. 2.1.4. no labels, no line markers. Also total # of goals calculations is incorrect.","2.2.1. unfortunately, the general logic is incorrect. PolynomialFeatures cannot be used.",2.2.2. this function itself does the job.,good effort with no documentation,2.2.4. There are various errors in the code. Mean_square_error() function is not allowed. Also MSE and Acc results are incorrect.
